time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
76,110592,27,1454,90.21,0.24,0.6,8.213285446166992,0.0003,1.1917579796165227,0.2,-1.3310122698545457,0.6459866762161255,0.14441382884979248,-0.03273845327057643,0.054708894,0.389599609375,260,,,
78,114688,28,1466,88.36,0.22,0.61,8.483716011047363,0.0003,1.4477014867588878,0.2,-1.256584533303976,0.6788531541824341,0.19731241464614868,-0.03254127414838877,0.050107647,0.3441162109375,270,,,
80,118784,29,1479,87.09,0.26,0.57,7.765598773956299,0.0003,1.3390727363526822,0.2,-1.2793477535247804,0.6697860956192017,0.2921675145626068,-0.03281585354998242,0.05782038,0.365283203125,280,,,
82,122880,30,1489,76.86,0.35,0.57,7.771139621734619,0.0003,1.5876478940248488,0.2,-1.2747493028640746,0.6383522748947144,0.30361273884773254,-0.030722511291969568,0.056724027,0.3978515625,290,,,
,125000,,,,,,,0.0003,1.9479642737656833,0.2,-1.203863574564457,0.5686888694763184,0.2795630395412445,-0.026556652289582417,0.061680727,0.3765869140625,300,0.3,3.494161605834961,104.65
87,126976,31,1454,82.98,0.29,0.57,7.79060173034668,,,,,,,,,,,,,
89,131072,32,1467,90.35,0.23,0.54,7.084169387817383,0.0003,1.2152918957173824,0.2,-1.2872463509440422,0.6050652861595154,0.2012089639902115,-0.030229910014895722,0.047640312,0.3606201171875,310,,,
91,135168,33,1479,94.66,0.19,0.56,7.288898944854736,0.0003,0.9726549401879311,0.2,-1.2773146376013755,0.7231593728065491,0.08996225148439407,-0.03322272320219781,0.05469375,0.361474609375,320,,,
93,139264,34,1492,93.43,0.19,0.58,7.704559803009033,0.0003,1.0826413128525019,0.2,-1.28114328160882,0.7537981867790222,0.29646891355514526,-0.03281612331629731,0.05681675,0.3664306640625,330,,,
95,143360,35,1503,84.21,0.31,0.54,7.015921115875244,0.0003,1.1603297371417285,0.2,-1.2475565046072006,0.7004945278167725,0.08052300661802292,-0.028917765943333507,0.06437503,0.364990234375,340,,,
97,147456,36,1515,90.68,0.33,0.51,6.60970401763916,0.0003,1.5463952880352736,0.2,-1.2222943142056466,0.5385546684265137,0.2611716687679291,-0.030836295284098016,0.06861375,0.38349609375,350,,,
,150000,,,,,,,0.0003,1.41730343606323,0.2,-1.2089966759085655,0.5165726542472839,0.38823744654655457,-0.023025308892829343,0.054501332,0.37548828125,360,0.1,0.3001614212989807,147.75
103,151552,37,1461,92.68,0.27,0.54,7.121035099029541,,,,,,,,,,,,,
105,155648,38,1472,96.59,0.25,0.55,7.3686299324035645,0.0003,1.3762306068092585,0.2,-1.2005441926419735,0.6421736478805542,0.23618388175964355,-0.023294695594813675,0.065319344,0.3938232421875,370,,,
107,159744,39,1482,88.54,0.27,0.55,7.330509185791016,0.0003,1.1592279151082039,0.2,-1.1992800928652287,0.6576178073883057,0.17952072620391846,-0.033692931744735685,0.07214519,0.3720703125,380,,,
109,163840,40,1491,86.62,0.3,0.51,6.785890579223633,0.0003,1.603700971417129,0.2,-1.1718056097626686,0.6115132570266724,0.38150539994239807,-0.024900085583794862,0.058106355,0.355224609375,390,,,
112,167936,41,1498,85.73,0.3,0.54,7.4503655433654785,0.0003,1.5338476667180658,0.2,-1.1683413185179234,0.5904818773269653,0.2162146419286728,-0.023011261067586018,0.063682854,0.3691162109375,400,,,
114,172032,42,1506,89.43,0.28,0.56,7.742666721343994,0.0003,1.7475388787686825,0.2,-1.1263093382120133,0.5285061597824097,0.26038989424705505,-0.025238609811640344,0.06421237,0.3621826171875,410,,,
,175000,,,,,,,0.0003,1.1588521778583527,0.2,-1.0732872195541858,0.6649402379989624,0.16623298823833466,-0.03241044124879409,0.06791358,0.355712890625,420,0.0,-0.026464616879820824,173.2
121,176128,43,1453,93.88,0.26,0.56,7.692956447601318,,,,,,,,,,,,,
123,180224,44,1459,83.52,0.23,0.6,8.150413513183594,0.0003,1.3088694034144281,0.2,-1.1269155398011208,0.6800821423530579,0.19453522562980652,-0.031007153002428824,0.055784456,0.34599609375,430,,,
125,184320,45,1464,76.18,0.24,0.61,8.433686256408691,0.0003,1.3614547634497285,0.2,-1.0825947489589454,0.7113325595855713,0.2394341230392456,-0.025413266359828414,0.06273787,0.3637939453125,440,,,
128,188416,46,1470,80.91,0.27,0.6,8.38450813293457,0.0003,1.951743596792221,0.2,-1.0421901136636733,0.511785626411438,0.4276866316795349,-0.025019207614241167,0.07263002,0.35849609375,450,,,
130,192512,47,1477,79.56,0.27,0.62,8.660294532775879,0.0003,1.5759081499651075,0.2,-1.0418625634163619,0.508786678314209,0.2597259283065796,-0.028538861603010446,0.08428853,0.38203125,460,,,
132,196608,48,1486,74.02,0.32,0.59,8.104985237121582,0.0003,1.9998969864100218,0.2,-1.0149321425706148,0.4983867406845093,0.4278344213962555,-0.021986948529956862,0.06998569,0.359375,470,,,
,200000,,,,,,,0.0003,1.7171745542436838,0.2,-0.989073421061039,0.5533909797668457,0.5491232872009277,-0.019333564618136734,0.07622522,0.36142578125,480,0.2,1.9612820148468018,153.6
138,200704,49,1447,76.71,0.37,0.51,6.774610996246338,,,,,,,,,,,,,
